id,title,author,authors,isbn10,format,publisher,pubdate,pages
1,Opening Spaces: An Anthology of Contemporary African Women's Writing,Yvonne Vera,"Yvonne Vera (Editor), Yvonne Vera",435910108,Paperback,Heinemann,Sep-99,186
2,The Caine Prize for African Writing 2010: 11th Annual Collection,The Caine Prize for African Writing,The Caine Prize for African Writing,1906523371,Paperback,New Internationalist,Aug-10,208
3,African Folktales,Roger D. Abrahams,"Roger D. Abrahams, Dan Frank",394721179,Paperback,Knopf Doubleday Publishing Group,Aug-83,
4,Unchained Voices: An Anthology of Black Authors in the English-Speaking World of the Eighteenth Century,Vincent Carretta,Vincent Carretta,813190762,Paperback,University Press of Kentucky,Dec-03,416
5,Women Writing Africa: West Africa and the Sahel,Esi Sutherland-Addy,"Esi Sutherland-Addy (Editor), Abena P. A. Busia (Editor), Aminata Diaw",1558615008,Paperback,"Feminist Press at CUNY, The",Aug-05,560
6,"10 Years of the Caine Prize for African Writing: Plus Coetzee, Gordimer, Achebe, Okri",The Caine The Caine Prize for African Writing,The Caine The Caine Prize for African Writing,190652324X,Hardcover,New Internationalist,Sep-09,
7,Introduction to African Oral Literature and Performance,Bayo Ogunjimi,"Bayo Ogunjimi, Abdul Rasheed Na'allah",1592211518,Hardcover,Africa World Press,Feb-06,146
8,Violence in Francophone African and Caribbean Women's Literature,Marie-Chantal Kalisa,Marie-Chantal Kalisa,803211023,Hardcover,UNP - Nebraska,Dec-09,236
9,Oral Epics from Africa,John William Johnson,"John William Johnson, Thomas A. Hale, Stephen (Eds.) Belcher, Thomas A. Hale (Editor), Stephen Belcher",253211107,Paperback,Indiana University Press,Mar-08,
10,African Fundamentalism: A Literary and Cultural Anthology of Garvey's Harlem Renaissance,Tony Martin,Tony Martin,912469099,Hardcover,"Majority Press, Incorporated, The",Oct-91,363
11,Land Apart: A South African Reader,Various,"Various, Andre Brink, J. M. Coetzee",140100040,Paperback,Penguin Group (USA),Jun-87,256
12,Women Writing Africa: The Eastern Region,Amandina Lihamba,"Amandina Lihamba (Editor), Fulata L. Moyo (Editor), Mugaybuso M. Mulokozi",1558615342,Paperback,"Feminist Press at CUNY, The",Feb-07,
13,Nobody Ever Said AIDS: Poems and Stories from Southern Africa,Nobantu Rasebotsa,"Nobantu Rasebotsa (Editor), Kylie Thomas (Editor), Meg Samuelson (Editor), Njabulo S. Ndebele",795701845,Paperback,NB Publishers,Mar-10,192
14,Step into a World: A Global Anthology of the New Black Literature,Kevin Powell,"Kevin Powell (Editor), Powell",471380601,Hardcover,"Wiley, John & Sons, Incorporated",Oct-00,496
15,An Anthology of Interracial Literature: Black-White Contacts in the Old World and the New,Werner Sollors,"Werner Sollors, Werner Sollors",814781438,Hardcover,New York University Press,Feb-04,
16,The Caine Prize 2009: The Caine Prize for African Writing 10th Annual Collection,New Internationalist,New Internationalist,1906523142,Paperback,New Internationalist,Jul-09,214
17,"Traditions in World Literature: Literature of Africa, Softcover Student Edition",McGraw-Hill,"McGraw-Hill, McGraw-Hill Staff",844212024,Paperback,Glencoe/McGraw-Hill,Jan-99,320
18,Love Child,Gcina Mhlophe,Gcina Mhlophe,186914001X,Paperback,University Of KwaZulu-Natal Press,Mar-02,124
19,Seventh Street Alchemy 2004: A Selection of Works from the Caine Prize for African Writing,Jacana Media,"Jacana Media (Manufactured by), Monica Arac de Nyeko, Doreen Baingana, Parselelo Kantai",1770091459,Paperback,Jacana Media,Jun-06,228
20,Women Writing Africa: The Southern Region: Volume 1,Sheila Meintjes,"Sheila Meintjes, Dorothy Driver (Editor), Sheila Meintjes (Editor), Margie Orford (Editor), Chiedza Musengezi",1558614060,Library Binding,"Feminist Press at CUNY, The",Dec-02,560
21,Of Suffocated Hearts and Tortured Souls: Seeking Subjecthood through Madness in Francophone Women's,ValZrie Orlando,"ValZrie Orlando, Valzrie Orlando, Valrie Orlando",739105620,Hardcover,The Rowman & Littlefield Publishing Group Inc,Dec-02,218
22,Less Than One and Double: A Feminist Reading of African Women's Writing,Kenneth W. Harrow,Kenneth W. Harrow,325070253,Hardcover,Heinemann,Nov-01,384
23,The Rienner Anthology of African Literature,Anthonia C. Kalu,Anthonia C. Kalu,1588264912,Library Binding,"Lynne Rienner Publishers, Inc.",Apr-07,900
24,Oral and Written Expressions of African Cultures,Toyin Falola,"Toyin Falola, Fallou Ngom",1594606471,Paperback,Carolina Academic Press,Mar-09,264
25,Jambula Tree and other stories: The Caine Prize for African Writing 8th Annual Collection,Monica Arac de Nyeko,Monica Arac de Nyeko,1904456731,Paperback,New Internationalist,Jul-08,214
26,Up the Down Escalator,Linda Rode,"Linda Rode, Hans Bodenstein",795701063,Paperback,NB Publishers,Mar-10,
27,Basali!: Stories by and about Women in Lesotho,K. Limakatso Kendall,K. Limakatso Kendall,869809180,Paperback,University of Natal Press,Feb-95,136
28,How God Fix Jonah,Lorenz Graham,"Lorenz Graham, Ashley Bryan (Illustrator), Effie Lee Morris",1563976986,Hardcover,Boyds Mills Press,Oct-00,160
29,Glass Jars among Trees,Arja Salafranca,"Arja Salafranca (Editor), Alan Finlay",1919931236,Paperback,Jacana Media,Apr-05,188
30,Running Towards Us: New Writing from South Africa,Isabel Balseiro,"Isabel Balseiro (Editor), Isabel Balseiro",325002118,Paperback,Heinemann,May-00,216
31,Of Suffocated Hearts And Tortured Souls,Valerie Key Orlando,Valerie Key Orlando,739105639,Paperback,Lexington Books,Dec-02,
32,An Anthology of Interracial Literature: Black-White Contacts in the Old World and the New,Werner Sollors,"Werner Sollors (Editor), Werner Sollors",814781446,Paperback,New York University Press,Feb-04,
